scenario,rps_nominal,status,orders_created,orders_completed,orders_failed,orders_not_created,requests_total,success_rate_pct,http_errors,net_errors,throughput_req_s,global_p50,global_p90,global_p95,order_p50,order_p90,order_p95,track_p50,track_p90,track_p95,route_p50,route_p90,route_p95,bottleneck_endpoint,bottleneck_p95,sla_met,sla_p95_violations
normal,10.0,OK,204,204,0,0,13849,100.0,0,0,182.7,136.01050002034754,170.11110007297248,259.16010001674294,189.78070002049208,279.7339499811642,565.7337500015274,135.9461999963969,157.3623799951747,250.54002999095246,137.85210001515225,176.01664998801425,177.18594998586923,GET /restaurants/{id},1838.1,False,POST /order
peak,50.0,OK,981,970,11,0,66188,99.89,72,119,492.1,383.5095999529585,1438.6855000513606,2706.193920056103,196.988100069575,3786.225159955211,4753.830850007944,404.08989996649325,1303.6058900295757,2323.6877500545233,151.4842000324279,202.8855200158432,234.06067996984348,GET /restaurants/{id},5498.3,False,global;POST /order;POST /tracking/position
event,200.0,OK,563,280,283,3184,22851,89.25,2457,11973,106.9,186.52540002949536,10251.486319978721,10263.624579971656,10260.299999965355,10654.252699925564,19610.699499957263,175.2013000077568,335.0954099674709,446.47760001244023,140.03909996245056,179.92988002952188,188.3075200021267,POST /order,19610.7,False,global;POST /order
